Periode,,Tidak/belum pernah sekolah,Tidak/belum tamat SD,SD,SLTP,SLTA Umum/SMU,SLTA Kejuruan/SMK,Akademi/Diploma,Universitas,Total
1986,,52166,161626,37199,316344,54409,297706,4196,3179,1817672
1987,,47944,155456,340684,269332,611958,293708,48328,52097,1819507
1988,,41695,12888,343563,333506,687929,385943,55265,63937,2040718
1989,,21424,108619,362478,331783,717803,377631,57413,61007,2038158
1990,,36387,116095,345319,313481,642881,337739,59972,59926,1911800
1991,,30354,90554,378716,359134,662848,330827,60778,78904,1992115
1992,,24506,118318,377586,348089,744383,362543,62076,9852,2136021
1993,,23104,92356,421822,356418,748491,349988,77183,129848,2199210
1994,,36516,162386,702377,621563,1208069,597287,137075,171659,3636932
1995,,0,0,0,0,0,0,0,0,0
1996,,41516,171657,832125,776825,1358456,697782,158376,238677,4275414
1997,,27675,187769,75919,733911,1398064,699659,141506,236197,4183971
1998,,31779,223029,909479,983145,1616700,851902,175417,253809,5045260
1999,,31962,246538,1151252,1159478,1891962,994254,243926,310947,6030319
2000,,2901,192232,1216976,1367892,1894986,651369,18469,276076,5813231
2001,,278329,573097,1893565,1786317,1881578,1051912,251134,289099,8005031
2002,,21474,653568,2353330,2146495,2138263,1105867,250426,269415,9132104
2003,,352518,710354,2495928,2458913,2435819,1037103,202809,245857,9939301
2004,,336027,668269,2275281,2690912,2441161,1254343,237251,348107,10251351
2005,Februari,342656,670055,2540977,2680810,2680752,1230750,322836,385418,10854254
,November,264458,673527,2729915,3151231,3069305,1306770,308522,395538,11899266
2006,Februari,234465,61496,2675459,2860007,2842876,1204140,297185,375601,11104693
,Agustus,170666,611254,2589699,2730045,2851518,1305190,278074,395554,10932000
2007,Februari,14575,520316,2753548,2643062,2630360,1114675,330316,40989,10547917
,Agustus,94301,438519,2179792,2264198,2532204,1538349,397191,566588,10011142
2008,Februari,79764,448431,2216748,2166619,2204377,1165582,519867,626202,9427590
,Agustus,103206,443832,2099968,1973986,2403394,1409128,362683,598318,9394515
2009,Februari,60347,415955,2143747,2054682,2133627,1337586,486399,626621,9258964
,Agustus,90471,54743,1531671,1770823,2472245,1407226,4411,701651,8962617
2010,Februari,59066,547164,1522465,1657452,2111256,1336881,538186,82002,8592490
,Agustus,157586,600221,1402858,1661449,2149123,1195192,443222,710128,8319779
2011,Februari,93956,559661,1291733,1834632,2385938,1109511,469009,635442,8379882
,Agustus,205388,73761,1241882,2138864,2376254,1161362,276816,543216,8681392
2012,Februari,126972,601753,1418683,1736670,2043697,1018465,258385,553206,7757831
,Agustus,85374,512041,1452047,1714776,1867755,1067009,200028,445836,7344866
2013,Februari,112435,5234,1421873,1821429,1874799,864649,19727,425042,7240897
,Agustus,81432,489152,1347555,1689643,1925660,1258201,185103,434185,7410931
2014,Februari,13404,610574,1374822,1693203,1893509,847365,195258,398298,7147069
,Agustus,74898,38955,1229652,1566838,1962786,1332521,193517,495143,7244905
2015,Februari,124303,603194,1320392,1650387,1762411,1174366,254312,565402,7454767
,Agustus,55554,371542,1004961,1373919,2280029,1569690,251541,653586,7560822
2016,Februari,94293,557418,1218954,1313815,1546699,1348327,249362,695304,7024172
,Agustus,59346,384069,1035731,1294483,1950626,1520549,219736,567235,7031775
2017,Februari,92331,546897,1292234,1281240,1552894,1383022,249705,606939,7005262
,Agustus,62984,404435,904561,1274417,1910829,1621402,242937,618758,7005262
2018,Februari,4374,452326,975661,1265421,1672601,1445340,304744,803624,6963457
,Agustus,32315,328781,908228,1142168,1945826,1752241,223456,74037,7073385
2019,Februari,36422,443495,965641,1235199,1690527,1397281,274377,855854,6898796
,Agustus,40771,347712,865778,1137195,2008035,1739625,218954,746354,7104424
2020,Februari,35761,346778,1006744,1251352,1748834,1443522,267583,824912,6925486
,Agustus,31379,428813,1410537,1621518,2662444,2326599,305261,981203,9767754
2021,Februari,20461,342734,1219494,1515089,2305093,2089137,254457,999543,8746008
,Agustus,23905,431329,1393492,1604448,2472859,2111338,216024,848657,9102052
2022,Februari,24852,437819,1230914,1460221,2251558,1876661,235359,884769,8402153
,Agustus,15206,663125,1274153,1500807,2478173,1661492,15949,673485,8425931
2023,Februari,42436,454305,1218926,1445701,2216001,1666493,191681,753732,7989275
,Agustus,29148,344881,979668,1246932,2514481,1780095,171897,787973,7855075
2024,Februari,13598,394364,857486,1154255,2107781,1621672,173846,87186,7194862
,,Agustus,,,,,,,,